Pubchem CID,IUPAC Name,IUPAC Name (traditional),InChi,InChi Key,Canonical SMILES,Isomeric SMILES
217617,1-benzyl-4-ethynyl-3-[1-(1H-indol-3-yl)ethyl]piperidin-4-ol,4-ethynyl-3-[1-(1H-indol-3-yl)ethyl]-1-(phenylmethyl)-4-piperidinol,"InChI=1S/C24H26N2O/c1-3-24(27)13-14-26(16-19-9-5-4-6-10-19)17-22(24)18(2)21-15-25-23-12-8-7-11-20(21)23/h1,4-12,15,18,22,25,27H,13-14,16-17H2,2H3",OUYNHZITBWSXDY-UHFFFAOYSA-N,CC(C1CN(CCC1(C#C)O)CC2=CC=CC=C2)C3=CNC4=CC=CC=C43,CC(C1CN(CCC1(C#C)O)CC2=CC=CC=C2)C3=CNC4=CC=CC=C43
160525,"methyl (1R,9R,16R,18R)-2,12-diazahexacyclo[14.2.2.19,12.01,9.03,8.016,21]henicosa-3,5,7-triene-18-carboxylate","(1R,9R,16R,18R)-2,12-diazahexacyclo[14.2.2.19,12.01,9.03,8.016,21]heneicosa-3,5,7-triene-18-carboxylic acid methyl ester","InChI=1S/C21H26N2O2/c1-25-17(24)15-13-19-7-4-11-23-12-10-20(18(19)23)14-5-2-3-6-16(14)22-21(15,20)9-8-19/h2-3,5-6,15,18,22H,4,7-13H2,1H3/t15-,18?,19+,20+,21+/m0/s1",IYLRRIUNGGQRTN-GKCDKPGPSA-N,COC(=O)C1CC23CCCN4C2C5(C1(CC3)NC6=CC=CC=C65)CC4,COC(=O)[C@@H]1C[C@]23CCCN4C2[C@@]5([C@]1(CC3)NC6=CC=CC=C65)CC4
462474,11-amino-N-[(2S)-1-[[(2S)-6-amino-1-[[(2S)-1-amino-4-methyl-1-oxopentan-2-yl]amino]-1-oxohexan-2-yl]amino]-3-hydroxy-1-oxopropan-2-yl]undecanamide,11-amino-N-[(2S)-1-[[(2S)-6-amino-1-[[(2S)-1-amino-4-methyl-1-oxopentan-2-yl]amino]-1-oxohexan-2-yl]amino]-3-hydroxy-1-oxopropan-2-yl]undecanamide,"InChI=1S/C26H52N6O5/c1-19(2)17-21(24(29)35)32-25(36)20(13-10-12-16-28)31-26(37)22(18-33)30-23(34)14-9-7-5-3-4-6-8-11-15-27/h19-22,33H,3-18,27-28H2,1-2H3,(H2,29,35)(H,30,34)(H,31,37)(H,32,36)/t20-,21-,22-/m0/s1",UQHVYWHJXJHNDJ-FKBYEOEOSA-N,CC(C)CC(C(=O)N)NC(=O)C(CCCCN)NC(=O)C(CO)NC(=O)CCCCCCCCCCN,CC(C)C[C@@H](C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CO)NC(=O)CCCCCCCCCCN
100395,6-chloro-3-methoxy-4-nitro-1-oxidopyridazin-1-ium,6-chloro-3-methoxy-4-nitro-1-oxidopyridazin-1-ium,"InChI=1S/C5H4ClN3O4/c1-13-5-3(9(11)12)2-4(6)8(10)7-5/h2H,1H3",GFPCWCFJENKFAV-UHFFFAOYSA-N,COC1=N[N+](=C(C=C1[N+](=O)[O-])Cl)[O-],COC1=N[N+](=C(C=C1[N+](=O)[O-])Cl)[O-]
202483,"[7-dimethylazaniumylidene-1,9-bis[4-[3-(3-methyl-1,3-benzoxazol-2-ylidene)prop-1-enyl]quinolin-1-ium-1-yl]nonan-3-ylidene]-dimethylazanium","[7-dimethyliminio-1,9-bis[4-[3-(3-methyl-1,3-benzoxazol-2-ylidene)prop-1-enyl]-1-quinolin-1-iumyl]nonan-3-ylidene]-dimethylammonium","InChI=1S/C53H58N6O2/c1-54(2)42(34-38-58-36-32-40(44-22-7-9-24-46(44)58)18-15-30-52-56(5)48-26-11-13-28-50(48)60-52)20-17-21-43(55(3)4)35-39-59-37-33-41(45-23-8-10-25-47(45)59)19-16-31-53-57(6)49-27-12-14-29-51(49)61-53/h7-16,18-19,22-33,36-37H,17,20-21,34-35,38-39H2,1-6H3/q+4",ZLOWWSOJELERQH-UHFFFAOYSA-N,CN1C2=CC=CC=C2OC1=CC=CC3=CC=[N+](C4=CC=CC=C34)CCC(=[N+](C)C)CCCC(=[N+](C)C)CC[N+]5=CC=C(C6=CC=CC=C65)C=CC=C7N(C8=CC=CC=C8O7)C,CN1C2=CC=CC=C2OC1=CC=CC3=CC=[N+](C4=CC=CC=C34)CCC(=[N+](C)C)CCCC(=[N+](C)C)CC[N+]5=CC=C(C6=CC=CC=C65)C=CC=C7N(C8=CC=CC=C8O7)C
110077,"2-amino-3,6-dichloro-4-methylbenzenesulfonic acid","2-amino-3,6-dichloro-4-methylbenzenesulfonic acid","InChI=1S/C7H7Cl2NO3S/c1-3-2-4(8)7(14(11,12)13)6(10)5(3)9/h2H,10H2,1H3,(H,11,12,13)",MLEABORKMIGILK-UHFFFAOYSA-N,CC1=CC(=C(C(=C1Cl)N)S(=O)(=O)O)Cl,CC1=CC(=C(C(=C1Cl)N)S(=O)(=O)O)Cl
468011,1-benzyl-9-hydroxy-5-(1-hydroxypentyl)-3-(2-methylpropyl)-3-azabicyclo[3.3.1]nonan-7-one,9-hydroxy-1-(1-hydroxypentyl)-3-(2-methylpropyl)-5-(phenylmethyl)-3-azabicyclo[3.3.1]nonan-7-one,"InChI=1S/C24H37NO3/c1-4-5-11-21(27)24-14-20(26)13-23(22(24)28,12-19-9-7-6-8-10-19)16-25(17-24)15-18(2)3/h6-10,18,21-22,27-28H,4-5,11-17H2,1-3H3",ZNPXNWKJAKHGFW-UHFFFAOYSA-N,CCCCC(C12CC(=O)CC(C1O)(CN(C2)CC(C)C)CC3=CC=CC=C3)O,CCCCC(C12CC(=O)CC(C1O)(CN(C2)CC(C)C)CC3=CC=CC=C3)O
416543,2-[[bis(2-hydroxyethyl)amino]methyl]-4-(2-methylbutan-2-yl)phenol,2-[[bis(2-hydroxyethyl)amino]methyl]-4-(2-methylbutan-2-yl)phenol,"InChI=1S/C16H27NO3/c1-4-16(2,3)14-5-6-15(20)13(11-14)12-17(7-9-18)8-10-19/h5-6,11,18-20H,4,7-10,12H2,1-3H3",GCNCJCNOXNKNHR-UHFFFAOYSA-N,CCC(C)(C)C1=CC(=C(C=C1)O)CN(CCO)CCO,CCC(C)(C)C1=CC(=C(C=C1)O)CN(CCO)CCO
403326,S-[2-[[(2R)-1-amino-1-oxopropan-2-yl]carbamoyl]phenyl] N-(2-pyridin-1-ium-1-ylethyl)carbamothioate;bromide,N-[2-(1-pyridin-1-iumyl)ethyl]carbamothioic acid S-[2-[[[(2R)-1-amino-1-oxopropan-2-yl]amino]-oxomethyl]phenyl] ester;bromide,"InChI=1S/C18H20N4O3S.BrH/c1-13(16(19)23)21-17(24)14-7-3-4-8-15(14)26-18(25)20-9-12-22-10-5-2-6-11-22;/h2-8,10-11,13H,9,12H2,1H3,(H3-,19,20,21,23,24,25);1H/t13-;/m1./s1",NUWIXXDPUGNZSI-BTQNPOSSSA-N,CC(C(=O)N)NC(=O)C1=CC=CC=C1SC(=O)NCC[N+]2=CC=CC=C2.[Br-],C[C@H](C(=O)N)NC(=O)C1=CC=CC=C1SC(=O)NCC[N+]2=CC=CC=C2.[Br-]
2812,1-[(2-chlorophenyl)-diphenylmethyl]imidazole,1-[(2-chlorophenyl)-diphenylmethyl]imidazole,"InChI=1S/C22H17ClN2/c23-21-14-8-7-13-20(21)22(25-16-15-24-17-25,18-9-3-1-4-10-18)19-11-5-2-6-12-19/h1-17H",VNFPBHJOKIVQEB-UHFFFAOYSA-N,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4
223360,"2-(7,8-dimethyl-2,4-dioxobenzo[g]pteridin-10-yl)ethyl propanoate","propanoic acid 2-(7,8-dimethyl-2,4-dioxo-10-benzo[g]pteridinyl)ethyl ester","InChI=1S/C17H18N4O4/c1-4-13(22)25-6-5-21-12-8-10(3)9(2)7-11(12)18-14-15(21)19-17(24)20-16(14)23/h7-8H,4-6H2,1-3H3,(H,20,23,24)",ULFXAHIPUASXNF-UHFFFAOYSA-N,CCC(=O)OCCN1C2=C(C=C(C(=C2)C)C)N=C3C1=NC(=O)NC3=O,CCC(=O)OCCN1C2=C(C=C(C(=C2)C)C)N=C3C1=NC(=O)NC3=O
48207,2-ethyl-2-propylsulfanylbutanamide,2-ethyl-2-(propylthio)butanamide,"InChI=1S/C9H19NOS/c1-4-7-12-9(5-2,6-3)8(10)11/h4-7H2,1-3H3,(H2,10,11)",JUZAKHTUSPDONW-UHFFFAOYSA-N,CCCSC(CC)(CC)C(=O)N,CCCSC(CC)(CC)C(=O)N
8650,(2S)-2-(methylamino)-1-phenylpropan-1-ol,(2S)-2-(methylamino)-1-phenyl-1-propanol,"InChI=1S/C10H15NO/c1-8(11-2)10(12)9-6-4-3-5-7-9/h3-8,10-12H,1-2H3/t8-,10?/m0/s1",KWGRBVOPPLSCSI-PEHGTWAWSA-N,CC(C(C1=CC=CC=C1)O)NC,C[C@@H](C(C1=CC=CC=C1)O)NC
256244,"(1R,2S,9S,12S)-16-methoxy-9-methyl-5-(trifluoromethyl)-6,7-diazapentacyclo[10.8.0.02,9.04,8.013,18]icosa-4(8),5,13(18),14,16-pentaene","(1R,2S,9S,12S)-16-methoxy-9-methyl-5-(trifluoromethyl)-6,7-diazapentacyclo[10.8.0.02,9.04,8.013,18]eicosa-4(8),5,13(18),14,16-pentaene","InChI=1S/C21H23F3N2O/c1-20-8-7-14-13-6-4-12(27-2)9-11(13)3-5-15(14)17(20)10-16-18(20)25-26-19(16)21(22,23)24/h4,6,9,14-15,17H,3,5,7-8,10H2,1-2H3,(H,25,26)/t14-,15-,17+,20+/m1/s1",DYQXDWBZBKTHJL-UOSKARGWSA-N,CC12CCC3C(C1CC4=C2NN=C4C(F)(F)F)CCC5=C3C=CC(=C5)OC,C[C@]12CC[C@H]3[C@H]([C@@H]1CC4=C2NN=C4C(F)(F)F)CCC5=C3C=CC(=C5)OC
106941,3-phenylprop-2-enyl 2-methylbutanoate,2-methylbutanoic acid 3-phenylprop-2-enyl ester,"InChI=1S/C14H18O2/c1-3-12(2)14(15)16-11-7-10-13-8-5-4-6-9-13/h4-10,12H,3,11H2,1-2H3",OQFRRXKRZQFDEI-UHFFFAOYSA-N,CCC(C)C(=O)OCC=CC1=CC=CC=C1,CCC(C)C(=O)OCC=CC1=CC=CC=C1
328650,"[3-acetyloxy-2-methyl-6-[[(1S,3S)-3,5,12-trihydroxy-3-(2-hydroxyacetyl)-10-methoxy-6,11-dioxo-2,4-dihydro-1H-tetracen-1-yl]oxy]oxan-4-yl] acetate","acetic acid [3-acetyloxy-2-methyl-6-[[(1S,3S)-3,5,12-trihydroxy-3-(2-hydroxy-1-oxoethyl)-10-methoxy-6,11-dioxo-2,4-dihydro-1H-tetracen-1-yl]oxy]-4-oxanyl] ester","InChI=1S/C31H32O14/c1-12-30(44-14(3)34)18(43-13(2)33)8-21(42-12)45-19-10-31(40,20(35)11-32)9-16-23(19)29(39)25-24(27(16)37)26(36)15-6-5-7-17(41-4)22(15)28(25)38/h5-7,12,18-19,21,30,32,37,39-40H,8-11H2,1-4H3/t12?,18?,19-,21?,30?,31-/m0/s1",FCYRUGFDQOKETE-AXBADRFBSA-N,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)OC(=O)C)OC(=O)C,CC1C(C(CC(O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)OC(=O)C)OC(=O)C
344494,"methyl 1-oxo-3,4-dihydro-2H-naphthalene-2-carboxylate","1-oxo-3,4-dihydro-2H-naphthalene-2-carboxylic acid methyl ester","InChI=1S/C12H12O3/c1-15-12(14)10-7-6-8-4-2-3-5-9(8)11(10)13/h2-5,10H,6-7H2,1H3",YDDRYTDEKAPAHE-UHFFFAOYSA-N,COC(=O)C1CCC2=CC=CC=C2C1=O,COC(=O)C1CCC2=CC=CC=C2C1=O
225967,3-tert-butylsulfanylpropanal,3-(tert-butylthio)propanal,"InChI=1S/C7H14OS/c1-7(2,3)9-6-4-5-8/h5H,4,6H2,1-3H3",KCLQOCORZSWYQC-UHFFFAOYSA-N,CC(C)(C)SCCC=O,CC(C)(C)SCCC=O
235852,N-(1-hydroxybutan-2-yl)-6-(2-phenylethenyl)pyridine-3-carboxamide,N-(1-hydroxybutan-2-yl)-6-(2-phenylethenyl)-3-pyridinecarboxamide,"InChI=1S/C18H20N2O2/c1-2-16(13-21)20-18(22)15-9-11-17(19-12-15)10-8-14-6-4-3-5-7-14/h3-12,16,21H,2,13H2,1H3,(H,20,22)",CMOZFUXNKFMTFL-UHFFFAOYSA-N,CCC(CO)NC(=O)C1=CN=C(C=C1)C=CC2=CC=CC=C2,CCC(CO)NC(=O)C1=CN=C(C=C1)C=CC2=CC=CC=C2
499408,N-phenyl-1-pyridin-2-ylmethanimine,N-phenyl-1-(2-pyridinyl)methanimine,InChI=1S/C12H10N2/c1-2-6-11(7-3-1)14-10-12-8-4-5-9-13-12/h1-10H,CSGRSRYPHUABSU-UHFFFAOYSA-N,C1=CC=C(C=C1)N=CC2=CC=CC=N2,C1=CC=C(C=C1)N=CC2=CC=CC=N2
244843,"2-(hydroxymethyl)-6-[2,3,4-trihydroxy-4-(2-phenyltriazol-4-yl)butoxy]oxane-3,4,5-triol","2-(hydroxymethyl)-6-[2,3,4-trihydroxy-4-(2-phenyl-4-triazolyl)butoxy]oxane-3,4,5-triol","InChI=1S/C18H25N3O9/c22-7-12-15(26)16(27)17(28)18(30-12)29-8-11(23)14(25)13(24)10-6-19-21(20-10)9-4-2-1-3-5-9/h1-6,11-18,22-28H,7-8H2",CDDZNFXWZUILJU-UHFFFAOYSA-N,C1=CC=C(C=C1)N2N=CC(=N2)C(C(C(COC3C(C(C(C(O3)CO)O)O)O)O)O)O,C1=CC=C(C=C1)N2N=CC(=N2)C(C(C(COC3C(C(C(C(O3)CO)O)O)O)O)O)O
87688,3-hydroxy-2-(hydroxymethyl)-2-methylpropanal,3-hydroxy-2-(hydroxymethyl)-2-methylpropanal,"InChI=1S/C5H10O3/c1-5(2-6,3-7)4-8/h2,7-8H,3-4H2,1H3",CBIFNLUPCWCNQT-UHFFFAOYSA-N,CC(CO)(CO)C=O,CC(CO)(CO)C=O
410916,2-(diethylamino)ethyl 4-[(4-bromophenyl)carbamoylamino]benzoate,4-[[(4-bromoanilino)-oxomethyl]amino]benzoic acid 2-(diethylamino)ethyl ester,"InChI=1S/C20H24BrN3O3/c1-3-24(4-2)13-14-27-19(25)15-5-9-17(10-6-15)22-20(26)23-18-11-7-16(21)8-12-18/h5-12H,3-4,13-14H2,1-2H3,(H2,22,23,26)",DXHFLIWWQFYXBI-UHFFFAOYSA-N,CCN(CC)CCOC(=O)C1=CC=C(C=C1)NC(=O)NC2=CC=C(C=C2)Br,CCN(CC)CCOC(=O)C1=CC=C(C=C1)NC(=O)NC2=CC=C(C=C2)Br
38761,trimethyl-[11-(trimethylazaniumyl)undecyl]azanium,trimethyl-[11-(trimethylammonio)undecyl]ammonium,"InChI=1S/C17H40N2/c1-18(2,3)16-14-12-10-8-7-9-11-13-15-17-19(4,5)6/h7-17H2,1-6H3/q+2",GUZGFBIPZMQQFM-UHFFFAOYSA-N,C[N+](C)(C)CCCCCCCCCCC[N+](C)(C)C,C[N+](C)(C)CCCCCCCCCCC[N+](C)(C)C
1515,"2-(4-aminophenyl)-5-(hydroxymethyl)pyrrolidine-3,4-diol","2-(4-aminophenyl)-5-(hydroxymethyl)pyrrolidine-3,4-diol","InChI=1S/C11H16N2O3/c12-7-3-1-6(2-4-7)9-11(16)10(15)8(5-14)13-9/h1-4,8-11,13-16H,5,12H2",SQENVZNKXLCDLF-UHFFFAOYSA-N,C1=CC(=CC=C1C2C(C(C(N2)CO)O)O)N,C1=CC(=CC=C1C2C(C(C(N2)CO)O)O)N
59664,"5-(2-hydroxy-3-iodopropyl)-5-propan-2-yl-1,3-diazinane-2,4,6-trione","5-(2-hydroxy-3-iodopropyl)-5-propan-2-yl-1,3-diazinane-2,4,6-trione","InChI=1S/C10H15IN2O4/c1-5(2)10(3-6(14)4-11)7(15)12-9(17)13-8(10)16/h5-6,14H,3-4H2,1-2H3,(H2,12,13,15,16,17)",IBXFSFRDJYTSHK-UHFFFAOYSA-N,CC(C)C1(C(=O)NC(=O)NC1=O)CC(CI)O,CC(C)C1(C(=O)NC(=O)NC1=O)CC(CI)O
212999,"2-(4-aminophenyl)-2-ethylpropane-1,3-diol","2-(4-aminophenyl)-2-ethylpropane-1,3-diol","InChI=1S/C11H17NO2/c1-2-11(7-13,8-14)9-3-5-10(12)6-4-9/h3-6,13-14H,2,7-8,12H2,1H3",NVEAUEXGWWQRKZ-UHFFFAOYSA-N,CCC(CO)(CO)C1=CC=C(C=C1)N,CCC(CO)(CO)C1=CC=C(C=C1)N
443101,"acridine-3,6-diamine;10-methylacridin-10-ium-3,6-diamine;chloride","acridine-3,6-diamine;10-methylacridin-10-ium-3,6-diamine;chloride","InChI=1S/C14H13N3.C13H11N3.ClH/c1-17-13-7-11(15)4-2-9(13)6-10-3-5-12(16)8-14(10)17;14-10-3-1-8-5-9-2-4-11(15)7-13(9)16-12(8)6-10;/h2-8H,1H3,(H3,15,16);1-7H,14-15H2;1H",PEJLNXHANOHNSU-UHFFFAOYSA-N,C[N+]1=C2C=C(C=CC2=CC3=C1C=C(C=C3)N)N.C1=CC(=CC2=NC3=C(C=CC(=C3)N)C=C21)N.[Cl-],C[N+]1=C2C=C(C=CC2=CC3=C1C=C(C=C3)N)N.C1=CC(=CC2=NC3=C(C=CC(=C3)N)C=C21)N.[Cl-]
296867,"3-[[10,13-dimethyl-17-(6-methylheptan-2-yl)-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-yl]oxy]-10,13-dimethyl-17-(6-methylheptan-2-yl)-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthrene","3-[[10,13-dimethyl-17-(6-methylheptan-2-yl)-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-yl]oxy]-10,13-dimethyl-17-(6-methylheptan-2-yl)-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthrene","InChI=1S/C54H90O/c1-35(2)13-11-15-37(5)45-21-23-47-43-19-17-39-33-41(25-29-51(39,7)49(43)27-31-53(45,47)9)55-42-26-30-52(8)40(34-42)18-20-44-48-24-22-46(38(6)16-12-14-36(3)4)54(48,10)32-28-50(44)52/h17-18,35-38,41-50H,11-16,19-34H2,1-10H3",ZFGOPJASRDDARH-UHFFFAOYSA-N,CC(C)CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)OC5CCC6(C7CCC8(C(C7CC=C6C5)CCC8C(C)CCCC(C)C)C)C)C)C,CC(C)CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)OC5CCC6(C7CCC8(C(C7CC=C6C5)CCC8C(C)CCCC(C)C)C)C)C)C
252702,3-chloro-6-methyl-2-phenylchromen-4-one,3-chloro-6-methyl-2-phenyl-1-benzopyran-4-one,"InChI=1S/C16H11ClO2/c1-10-7-8-13-12(9-10)15(18)14(17)16(19-13)11-5-3-2-4-6-11/h2-9H,1H3",HWKMEFFTODSEEU-UHFFFAOYSA-N,CC1=CC2=C(C=C1)OC(=C(C2=O)Cl)C3=CC=CC=C3,CC1=CC2=C(C=C1)OC(=C(C2=O)Cl)C3=CC=CC=C3
246717,3-[bis(aziridin-1-yl)phosphoryl]-3-azabicyclo[3.2.2]nonane,3-[bis(1-aziridinyl)phosphoryl]-3-azabicyclo[3.2.2]nonane,"InChI=1S/C12H22N3OP/c16-17(13-5-6-13,14-7-8-14)15-9-11-1-2-12(10-15)4-3-11/h11-12H,1-10H2",OUASLQVYQKMHPY-UHFFFAOYSA-N,C1CC2CCC1CN(C2)P(=O)(N3CC3)N4CC4,C1CC2CCC1CN(C2)P(=O)(N3CC3)N4CC4
176962,"6-hydroxy-2,3,4,9-tetrahydro-1H-pyrido[3,4-b]indole-1-carboxylic acid","6-hydroxy-2,3,4,9-tetrahydro-1H-pyrido[3,4-b]indole-1-carboxylic acid","InChI=1S/C12H12N2O3/c15-6-1-2-9-8(5-6)7-3-4-13-11(12(16)17)10(7)14-9/h1-2,5,11,13-15H,3-4H2,(H,16,17)",KDTKEEBTTHBVSR-UHFFFAOYSA-N,C1CNC(C2=C1C3=C(N2)C=CC(=C3)O)C(=O)O,C1CNC(C2=C1C3=C(N2)C=CC(=C3)O)C(=O)O
127884,"(2R)-2-amino-3-(3-oxo-5-phenyl-1,2-oxazol-4-yl)propanoic acid",(2R)-2-amino-3-(3-oxo-5-phenyl-4-isoxazolyl)propanoic acid,"InChI=1S/C12H12N2O4/c13-9(12(16)17)6-8-10(18-14-11(8)15)7-4-2-1-3-5-7/h1-5,9H,6,13H2,(H,14,15)(H,16,17)/t9-/m1/s1",JCXLPVAAGYNKBT-SECBINFHSA-N,C1=CC=C(C=C1)C2=C(C(=O)NO2)CC(C(=O)O)N,C1=CC=C(C=C1)C2=C(C(=O)NO2)C[C@H](C(=O)O)N
152047,"5-methyl-4-(3,4,5-trimethoxyphenyl)pyrimidin-2-amine","5-methyl-4-(3,4,5-trimethoxyphenyl)-2-pyrimidinamine","InChI=1S/C14H17N3O3/c1-8-7-16-14(15)17-12(8)9-5-10(18-2)13(20-4)11(6-9)19-3/h5-7H,1-4H3,(H2,15,16,17)",WSSQIJNOGCSLBL-UHFFFAOYSA-N,CC1=CN=C(N=C1C2=CC(=C(C(=C2)OC)OC)OC)N,CC1=CN=C(N=C1C2=CC(=C(C(=C2)OC)OC)OC)N
